Time Stamp,Time Zone,Name,PTID,Load
2020-10-20 00:00:00,EDT,NORTH,61755,516.3893
2020-10-20 00:00:00,EDT,N.Y.C.,61761,4311.1553
2020-10-20 00:00:00,EDT,MILLWD,61759,251.2264
2020-10-20 00:00:00,EDT,MHK VL,61756,715.1066
2020-10-20 00:00:00,EDT,LONGIL,61762,1691.8397
2020-10-20 00:00:00,EDT,HUD VL,61758,795.3146
2020-10-20 00:00:00,EDT,GENESE,61753,898.6325
2020-10-20 00:00:00,EDT,DUNWOD,61760,474.1474
2020-10-20 00:00:00,EDT,CENTRL,61754,1467.5249
2020-10-20 00:00:00,EDT,CAPITL,61757,1170.599
2020-10-20 00:00:00,EDT,WEST,61752,1430.9274
2020-10-20 01:00:00,EDT,DUNWOD,61760,461.6355
2020-10-20 01:00:00,EDT,CAPITL,61757,1111.6173
2020-10-20 01:00:00,EDT,CENTRL,61754,1381.8196
2020-10-20 01:00:00,EDT,WEST,61752,1380.8362
2020-10-20 01:00:00,EDT,NORTH,61755,506.5683
2020-10-20 01:00:00,EDT,N.Y.C.,61761,4095.1936
2020-10-20 01:00:00,EDT,MILLWD,61759,224.0012
2020-10-20 01:00:00,EDT,MHK VL,61756,681.9885
2020-10-20 01:00:00,EDT,LONGIL,61762,1598.4673
2020-10-20 01:00:00,EDT,HUD VL,61758,778.9761
2020-10-20 01:00:00,EDT,GENESE,61753,865.0491
2020-10-20 02:00:00,EDT,LONGIL,61762,1537.1238
2020-10-20 02:00:00,EDT,CAPITL,61757,1105.0092
2020-10-20 02:00:00,EDT,HUD VL,61758,719.8471
2020-10-20 02:00:00,EDT,GENESE,61753,854.3851
2020-10-20 02:00:00,EDT,CENTRL,61754,1363.5189
2020-10-20 02:00:00,EDT,DUNWOD,61760,443.8587
2020-10-20 02:00:00,EDT,WEST,61752,1343.8657
2020-10-20 02:00:00,EDT,NORTH,61755,503.4417
2020-10-20 02:00:00,EDT,N.Y.C.,61761,3936.1826
2020-10-20 02:00:00,EDT,MILLWD,61759,230.4499
2020-10-20 02:00:00,EDT,MHK VL,61756,664.5886
2020-10-20 03:00:00,EDT,MHK VL,61756,671.8662
2020-10-20 03:00:00,EDT,NORTH,61755,500.4838
2020-10-20 03:00:00,EDT,WEST,61752,1334.237
2020-10-20 03:00:00,EDT,LONGIL,61762,1488.9995
2020-10-20 03:00:00,EDT,HUD VL,61758,728.6401
2020-10-20 03:00:00,EDT,GENESE,61753,846.2172
2020-10-20 03:00:00,EDT,DUNWOD,61760,426.1005
2020-10-20 03:00:00,EDT,CENTRL,61754,1379.8752
2020-10-20 03:00:00,EDT,CAPITL,61757,1076.1533
2020-10-20 03:00:00,EDT,MILLWD,61759,221.5266
