temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk
9.2,-5.4,-3.5,55.55,0.0,0.0,0.0,0.0,0.27,19.7,11.3,312.0,1026.5,4.4,9.9,6.001596897456371,0.0,0.0,0.0
9.2,-5.6,-3.3,55.97,0.0,0.0,0.0,0.0,0.24,20.8,11.6,306.0,1026.7,0.0,9.9,6.001825025664424,0.0,0.0,0.0
9.1,-6.0,-3.5,55.91,0.0,0.0,0.0,0.0,0.2,20.2,12.0,302.0,1026.9,0.0,9.9,6.002053153872477,0.0,0.0,0.0
9.3875,-5.65,-3.3,55.58890625,0.0,0.0,0.0,0.0,0.175,21.15,12.0125,303.75,1027.1750000000002,1.3125,9.9,6.002081669898483,0.0,0.0,0.0
9.675,-5.3,-3.1,55.2678125,0.0,0.0,0.0,0.0,0.15,22.1,12.025,305.5,1027.45,2.625,9.9,6.00211018592449,0.0,0.0,0.0
9.9625,-4.95,-2.9,54.94671875,0.0,0.0,0.0,0.0,0.125,23.05,12.0375,307.25,1027.725,3.9375,9.9,6.002138701950496,0.0,0.0,0.0
10.25,-4.6,-2.7,54.625625,0.0,0.0,0.0,0.0,0.1,24.0,12.05,309.0,1028.0,5.25,9.9,6.002167217976503,0.0,0.0,0.0
10.5375,-4.25,-2.5,54.30453125,0.0,0.0,0.0,0.0,0.075,24.95,12.0625,310.75,1028.275,6.5625,9.9,6.00219573400251,0.0,0.0,0.0
10.825,-3.9,-2.3,53.9834375,0.0,0.0,0.0,0.0,0.0499999999999999,25.9,12.075,312.5,1028.55,7.875,9.9,6.002224250028516,0.0,0.0,0.0
11.1125,-3.5500000000000003,-2.1,53.66234375,0.0,0.0,0.0,0.0,0.0249999999999999,26.85,12.0875,314.25,1028.8249999999998,9.1875,9.9,6.002252766054523,0.0,0.0,0.0
11.4,-3.2,-1.9,53.34125,0.0,0.0,0.0,0.0,0.0,27.8,12.1,316.0,1029.1,10.5,9.9,6.00228128208053,0.0,0.0,0.0
12.6,-2.1,-2.6,50.7725,0.0,0.0,0.0,0.0,0.0,21.8,12.2,311.0,1028.7,10.5,9.9,6.002509410288583,0.0,0.0,0.0
14.7,0.9,-2.7,48.20375,0.0,0.0,0.0,0.0,0.0,28.8,12.3,302.0,1028.2,10.5,9.9,6.002737538496636,0.0,0.0,0.0
15.8,2.1,-3.7,45.635,0.0,0.0,0.0,0.0,0.0,22.9,12.7,309.0,1027.5,10.5,9.9,6.0029656667046885,0.0,0.0,0.0
17.6,4.6,-4.1,43.06625,0.0,0.0,0.0,0.0,0.0,20.9,12.2,310.0,1027.1,10.5,9.9,6.0031937949127405,0.0,0.0,0.0
18.6,7.7,-4.0,40.4975,0.0,0.0,0.0,0.0,0.0,20.7,9.1,314.0,1027.2,10.5,9.9,6.0034219231207935,0.0,0.0,0.0
18.4,6.1,-5.0,37.92875,0.0,0.0,0.0,0.0,0.0,19.6,11.3,314.0,1027.1,10.5,9.9,6.003650051328846,0.0,0.0,0.0
18.2,6.8,-4.7,35.36,0.0,0.0,0.0,0.0,0.0,24.2,9.8,296.0,1027.2,10.5,9.9,6.003878179536899,0.0,0.0,0.0
18.2,6.1,-5.2,34.43,0.0,0.0,0.0,0.0,0.0,20.8,10.8,294.0,1027.7,10.5,9.9,6.004106307744952,0.0,0.0,0.0
17.3,8.0,-3.7,38.55,0.0,0.0,0.0,0.0,0.0,21.9,6.7,298.0,1028.1,10.5,9.9,6.004334435953005,0.0,0.0,0.0
17.3,6.1,-3.6,38.84,0.0,0.0,0.0,0.0,0.0,20.2,9.1,275.0,1028.3,10.5,9.9,6.004562564161058,0.0,0.0,0.0
17.1,7.4,-2.0,42.11,0.0,0.0,0.0,0.0,0.0,20.85,7.2,260.0,1027.8,10.5,9.9,6.004790692369111,0.0,0.0,0.0
17.1,4.2,0.2,46.75,0.0,0.0,0.0,0.0,0.0,21.5,11.8,265.0,1027.8,10.5,9.9,6.005018820577164,0.0,0.0,0.0
16.0,2.2,2.2,54.0,0.0,0.0,0.0,0.0,0.0,23.3,12.7,265.0,1027.8,10.5,9.9,6.005246948785217,0.0,0.0,0.0
15.2,5.5,2.8,57.31,0.0,0.0,0.0,0.0,0.0,24.2,6.8,271.0,1027.8,10.5,9.9,6.00547507699327,0.0,0.0,0.0
15.2,1.9,2.1,55.45,0.0,0.0,0.0,0.0,0.0,23.0,11.5,276.0,1027.8,10.5,9.9,6.005703205201323,0.0,0.0,0.0
15.2,-0.5,1.3,53.37,0.0,0.0,0.0,0.0,0.0,24.1,16.3,282.0,1028.2,10.5,9.9,6.005931333409376,0.0,0.0,0.0
14.3,-0.9,0.9,54.57,0.0,0.0,0.0,0.0,0.0,24.1,14.5,281.0,1028.6,0.0,9.9,6.006159461617429,0.0,0.0,0.0
14.1,-0.1,0.9,55.01,0.0,0.0,0.0,0.0,0.0,20.3,12.5,279.0,1028.6,0.0,9.9,6.006387589825482,0.0,0.0,0.0
13.1,0.7,0.9,57.43,0.0,0.0,0.0,0.0,0.0,26.4,9.4,256.0,1028.6,0.0,9.9,6.006615718033535,0.0,0.0,0.0
13.0,-0.3,0.9,58.02,0.0,0.0,0.0,0.0,0.0,23.0,10.6,266.0,1028.9,0.0,9.9,6.006843846241588,0.0,0.0,0.0
13.1,0.4,1.1,58.03,0.0,0.0,0.0,0.0,0.0,21.9,9.9,252.0,1029.7,68.8,9.9,6.007071974449641,0.0,0.0,0.0
13.1,2.0,1.9,60.21,0.0,0.0,0.0,0.0,0.0,19.7,7.8,260.0,1030.1,14.1,9.9,6.007300102657694,0.0,0.0,0.0
14.4,-0.6,2.0,57.17,0.0,0.0,0.0,0.38,0.38,21.7,7.771428571428571,256.0,1030.4,14.1,9.9,6.007528230865747,0.0,0.0,0.0
16.5,4.6,2.9,54.6,0.0,0.0,0.0,0.0,0.36,22.23333333333333,7.742857142857143,268.0,1030.4,14.1,9.9,6.0077563590738,0.0,0.0,0.0
18.7,7.5,3.8,51.65,0.0,0.0,0.0,0.0,0.34,22.766666666666666,7.714285714285714,286.0,1030.2,19.2,9.9,6.007984487281853,0.0,0.0,0.0
21.3,10.3,5.3,49.45,0.0,0.0,0.0,0.0,0.33,23.3,7.685714285714285,281.0,1028.8,27.9,9.9,6.008212615489906,0.0,0.0,0.0
23.5,12.8,6.4,47.4,0.0,0.0,0.0,0.0,0.31,20.8,7.657142857142857,291.0,1028.0,27.9,9.9,6.008440743697959,0.0,0.0,0.0
25.2,15.9,6.2,43.76,0.0,0.0,0.0,0.0,0.3,18.3,7.628571428571428,257.0,1027.0,27.9,9.9,6.008668871906012,0.0,0.0,0.0
26.1,17.9,5.9,41.64,0.0,0.0,0.0,0.0,0.28,19.125,7.6,271.0,1026.8,27.9,9.9,6.0088970001140645,0.0,0.0,0.0
